,Date,Open,High,Low,Close,Volume
0,8-Sep-17,160.86,161.15,158.53,158.63,28611535
1,7-Sep-17,162.09,162.24,160.36,161.26,21928502
2,6-Sep-17,162.71,162.99,160.52,161.91,21651726
3,5-Sep-17,163.75,164.25,160.56,162.08,29536314
4,1-Sep-17,164.8,164.94,163.63,164.05,16591051
5,31-Aug-17,163.64,164.52,163.48,164.0,26785096
6,30-Aug-17,163.8,163.89,162.61,163.35,27269584
7,29-Aug-17,160.1,163.12,160.0,162.91,29516910
8,28-Aug-17,160.14,162.0,159.93,161.47,25965972
9,25-Aug-17,159.65,160.56,159.27,159.86,25480063
10,24-Aug-17,160.43,160.74,158.55,159.27,19818918
11,23-Aug-17,159.07,160.47,158.88,159.98,19399081
12,22-Aug-17,158.23,160.0,158.02,159.78,21604585
13,21-Aug-17,157.5,157.89,155.11,157.21,26368528
14,18-Aug-17,157.86,159.5,156.72,157.5,27428069
15,17-Aug-17,160.52,160.71,157.84,157.86,27940565
16,16-Aug-17,161.94,162.51,160.15,160.95,27671612
17,15-Aug-17,160.66,162.2,160.14,161.6,29465487
18,14-Aug-17,159.32,160.21,158.75,159.85,22122734
19,11-Aug-17,156.6,158.57,156.07,157.48,26257096
20,10-Aug-17,159.9,160.0,154.63,155.32,40804273
21,9-Aug-17,159.26,161.27,159.11,161.06,26131530
22,8-Aug-17,158.6,161.83,158.27,160.08,36205896
23,7-Aug-17,157.06,158.92,156.67,158.81,21870321
24,4-Aug-17,156.07,157.4,155.69,156.39,20559852
25,3-Aug-17,157.05,157.21,155.02,155.57,27097296
26,2-Aug-17,159.28,159.75,156.16,157.14,69936800
27,1-Aug-17,149.1,150.22,148.41,150.05,35368645
28,31-Jul-17,149.9,150.33,148.13,148.73,19845920
29,28-Jul-17,149.89,150.23,149.19,149.5,17213653
30,27-Jul-17,153.75,153.99,147.3,150.56,32476337
31,26-Jul-17,153.35,153.93,153.06,153.46,15780951
32,25-Jul-17,151.8,153.84,151.8,152.74,18853932
33,24-Jul-17,150.58,152.44,149.9,152.09,21493160
34,21-Jul-17,149.99,150.44,148.88,150.27,26252630
35,20-Jul-17,151.5,151.74,150.19,150.34,17243748
36,19-Jul-17,150.48,151.42,149.95,151.02,20922969
37,18-Jul-17,149.2,150.13,148.67,150.08,17868792
38,17-Jul-17,148.82,150.9,148.57,149.56,23793456
39,14-Jul-17,147.97,149.33,147.33,149.04,20132061
40,13-Jul-17,145.5,148.49,145.44,147.77,25199373
41,12-Jul-17,145.87,146.18,144.82,145.74,24884478
42,11-Jul-17,144.73,145.85,144.38,145.53,19781836
43,10-Jul-17,144.11,145.95,143.37,145.06,21090636
44,7-Jul-17,142.9,144.75,142.9,144.18,19201712
45,6-Jul-17,143.02,143.5,142.41,142.73,24128782
46,5-Jul-17,143.69,144.79,142.72,144.09,21569557
47,3-Jul-17,144.88,145.3,143.1,143.5,14277848
48,30-Jun-17,144.45,144.96,143.78,144.02,23024107
49,29-Jun-17,144.71,145.13,142.28,143.68,31499368
50,28-Jun-17,144.49,146.11,143.16,145.83,22082432
51,27-Jun-17,145.01,146.16,143.62,143.73,24761891
52,26-Jun-17,147.17,148.28,145.38,145.82,25692361
53,23-Jun-17,145.13,147.16,145.11,146.28,35439389
54,22-Jun-17,145.77,146.7,145.12,145.63,19106294
55,21-Jun-17,145.52,146.07,144.61,145.87,21265751
56,20-Jun-17,146.87,146.87,144.94,145.01,24900073
57,19-Jun-17,143.66,146.74,143.66,146.34,32541404
58,16-Jun-17,143.78,144.5,142.2,142.27,50361093
