Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
"HX","Hexindai Inc.","10.95","$524.74M","2017","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hx",
"HF","HFF, Inc.","44.79","$1.73B","2007","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/hf",
"HIBB","Hibbett Sports, Inc.","13.375","$274.72M","1996","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/hibb",
"HCLP","Hi-Crush Partners LP","10.15","$923.96M","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/hclp",
"HFRO","Highland Floating Rate Opportunities Fund","15.4","n/a","2017","n/a","n/a","http://www.nasdaq.com/symbol/hfro",
"SNLN","Highland/iBoxx Senior Loan ETF","18.31","$477.84M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/snln",
"HPJ","Highpower International Inc","5.1","$78.34M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hpj",
"HIHO","Highway Holdings Limited","3.6","$13.69M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hiho",
"HIW","Highwoods Properties, Inc.","51.93","$5.36B","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hiw",
"HIL","Hill International, Inc.","5.35","$277.55M","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/hil",
"HI","Hillenbrand Inc","39.65","$2.5B","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/hi",
"HLM^","Hillman Group Capital Trust","34.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hlm^",
"HRC","Hill-Rom Holdings Inc","78.19","$5.15B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hrc",
"HTH","Hilltop Holdings Inc.","22.22","$2.13B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hth",
"HGV","Hilton Grand Vacations Inc.","41.62","$4.12B","2016","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/hgv",
"HLT","Hilton Worldwide Holdings Inc.","72.9","$23.32B","2016","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/hlt",
"HIMX","Himax Technologies, Inc.","10.66","$1.83B","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/himx",
"HIFS","Hingham Institution for Savings","194.84","$415.55M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hifs",
"HSGX","Histogenics Corporation","2.13","$47.9M","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hsgx",
"HMG","HMG/Courtland Properties, Inc.","11.06","$11.09M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hmg",
"HMNF","HMN Financial, Inc.","18.55","$83.43M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hmnf",
"HMSY","HMS Holdings Corp","15.86","$1.33B","1992","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hmsy",
"HNI","HNI Corporation","33.53","$1.46B","n/a","Consumer Durables","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/hni",
